"rewardDate","validator","validatorName","startEpoch","endEpoch","epochRange","epochsInDay","previousDayRewards","endOfDayRewards","dailyRewards","usd","gbp","eur","jpy","cny","inr","aud","krw"
"Up To: 2021-12-13T23:36:03.545Z","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","radix.plus ➡  0% Fee","0","4960","Up To: 4960","0","5545.126081272596","5545.126081272596","5545.126081272596","","","","","","","",""
"2021-12-14","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","radix.plus ➡  0% Fee","4961","5003","4961-5003","39","5545.126081272596","5583.158799449753","38.03271817715722","0.2357451538461538","0.1783241794871795","0.20896758974358975","26.791025641025637","1.4999999999999998","17.904102564102566","0.3314237435897437",""
"2021-12-15","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","radix.plus ➡  0% Fee","5004","5047","5004-5047","35","5583.158799449753","5622.003827675944","38.84502822619106","0.26271360000000005","0.19843568571428571","0.23316720000000002","29.906000000000002","1.6725714285714284","20.02857142857142","0.36856582857142856",""
"2021-12-16","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","radix.plus ➡  0% Fee","5048","5088","5048-5088","38","5622.003827675944","5658.0696090624115","36.06578138646728","0.29360618421052626","0.2208615789473684","0.25963515789473685","33.4571052631579","1.8694736842105264","22.37236842105263","0.4089248157894737",""
"2021-12-17","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","radix.plus ➡  0% Fee","5089","5129","5089-5129","33","5658.0696090624115","5693.99785896152","35.92824989910878","0.2809656363636364","0.21131639393939397","0.24848087878787878","31.909393939393933","1.7906060606060603","21.380909090909093","0.392537",""
"2021-12-18","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","radix.plus ➡  0% Fee","5130","5170","5130-5170","37","5693.99785896152","5729.9425743447355","35.944715383215225","0.26021705405405404","0.1965095675675675","0.2315086216216216","29.59108108108108","1.6589189189189189","19.786756756756755","0.3651568918918918",""
"2021-12-19","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","radix.plus ➡  0% Fee","5171","5210","5171-5210","35","5729.9425743447355","5764.941564104578","34.998989759842516","0.2533943142857143","0.19130897142857142","0.22543585714285716","28.813714285714287","1.6159999999999997","19.27057142857143","0.3555582571428571",""
"2021-12-20","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","radix.plus ➡  0% Fee","5211","5251","5211-5251","39","5764.941564104578","5800.606474748201","35.66491064362344","0.2419579230769231","0.18306728205128206","0.21474548717948716","27.472564102564103","1.5428205128205128","18.365641025641022","0.34027969230769234",""
"2021-12-21","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","radix.plus ➡  0% Fee","5252","5292","5252-5292","35","5800.606474748201","5836.225328664179","35.618853915977525","0.2619937428571429","0.19791071428571425","0.2322101142857143","29.81942857142856","1.6694285714285717","19.820857142857147","0.3674790285714285",""
"2021-12-22","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","radix.plus ➡  0% Fee","5293","5334","5293-5334","35","5836.225328664179","5872.614402195293","36.38907353111426","0.2696458857142857","0.20282902857142857","0.23877957142857145","30.794571428571427","1.7180000000000002","20.378","0.37664859999999994",""
